id,host_id,latitude,longitude,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,bedrooms,host_listings_count,calculated_host_listings_count_shared_rooms,minimum_nights_avg_ntm,maximum_nights_avg_ntm,property_type,host_location,host_response_time,host_is_superhost,host_identity_verified,neighbourhood_cleansed,property_type,room_type,first_review,last_review,instant_bookable,has_availability
251619,1159505.0,38.98853,-77.04441,100%,67%,5.0,2.0,1.5,1.0,$81.00,2.0,1000.0,30.0,60.0,90.0,365.0,9.0,0.0,0.0,4.67,4.89,4.67,5.0,5.0,4.78,4.67,4.0,0.0,4.0,0.06,0.0,0.0,1.0,4.0,0.0,2.0,1000.0,Private room in home,"Washington, DC",within a day,f,f,"Colonial Village, Shepherd Park, North Portal Estates",Private room in home,Private room,30/03/2013,03/04/2023,t,t
262629,36646.0,38.96691,-77.0044,100%,86%,2.0,1.0,1.0,1.0,$55.00,90.0,400.0,0.0,0.0,1.0,211.0,44.0,3.0,0.0,4.88,4.76,4.72,4.95,5.0,4.58,4.81,2.0,1.0,1.0,0.27,255.0,14025.0,1.0,2.0,0.0,90.0,400.0,Private room in home,"Washington, DC",within a few hours,t,t,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Private room in home,Private room,11/11/2011,01/04/2025,f,t
290001,1505235.0,38.91001,-77.02563,100%,94%,1.0,2.0,1.0,1.0,$201.00,2.0,14.0,5.0,35.0,53.0,120.0,199.0,19.0,1.0,4.85,4.88,4.85,4.99,4.98,4.91,4.81,1.0,1.0,0.0,1.23,114.0,22914.0,1.0,1.0,0.0,2.0,14.0,Entire townhouse,"Washington, DC",within a few hours,t,t,"Shaw, Logan Circle",Entire townhouse,Entire home/apt,17/03/2012,09/06/2025,f,t
296196,1528235.0,38.9146,-77.03602,100%,100%,1.0,4.0,1.0,2.0,$128.00,3.0,30.0,4.0,10.0,11.0,226.0,114.0,25.0,2.0,4.91,4.93,4.85,4.98,4.98,4.96,4.93,1.0,1.0,0.0,0.7,150.0,19200.0,1.0,1.0,0.0,3.0,1125.0,Entire rental unit,"Washington, DC",within an hour,t,f,"Dupont Circle, Connecticut Avenue/K Street",Entire rental unit,Entire home/apt,22/02/2012,15/06/2025,t,t
299030,1541062.0,38.9806,-77.03084,100%,76%,4.0,2.0,1.0,2.0,$86.00,1.0,90.0,20.0,26.0,56.0,331.0,57.0,15.0,1.0,4.87,4.96,4.84,4.95,4.95,4.88,4.88,3.0,1.0,2.0,0.36,90.0,7740.0,1.0,3.0,0.0,1.0,90.0,Private room in home,"Washington, DC",within an hour,t,f,"Colonial Village, Shepherd Park, North Portal Estates",Private room in home,Private room,09/05/2012,08/06/2025,f,t
303723,1563230.0,38.91611,-77.02662,100%,100%,2.0,2.0,,,,2.0,180.0,22.0,52.0,82.0,98.0,178.0,9.0,5.0,4.79,4.89,4.81,4.96,4.97,4.95,4.77,1.0,1.0,0.0,1.45,54.0,,1.0,1.0,0.0,2.0,180.0,Entire guest suite,"Washington, DC",within an hour,f,t,"Howard University, Le Droit Park, Cardozo/Shaw",Entire guest suite,Entire home/apt,24/05/2015,15/06/2025,f,t
306465,767543.0,38.91297,-77.0465,100%,0%,12.0,4.0,,,,60.0,180.0,0.0,7.0,37.0,127.0,19.0,0.0,0.0,4.56,4.58,4.74,4.58,4.68,4.95,4.47,2.0,1.0,1.0,0.12,0.0,,2.0,2.0,0.0,60.0,180.0,Entire rental unit,"Washington, DC",within a few hours,f,t,"Dupont Circle, Connecticut Avenue/K Street",Entire rental unit,Entire home/apt,14/03/2012,29/03/2023,f,t
313405,1541062.0,38.9793,-77.0283,100%,76%,4.0,2.0,1.0,1.0,$88.00,1.0,180.0,29.0,59.0,89.0,364.0,61.0,17.0,1.0,4.88,4.92,4.87,4.98,4.93,4.87,4.9,3.0,1.0,2.0,0.38,102.0,8976.0,1.0,3.0,0.0,1.0,180.0,Private room in home,"Washington, DC",within an hour,t,f,"Colonial Village, Shepherd Park, North Portal Estates",Private room in home,Private room,22/04/2012,13/06/2025,f,t
339208,1722407.0,38.89094,-76.93638,100%,100%,4.0,6.0,1.0,3.0,$72.00,4.0,365.0,4.0,5.0,5.0,7.0,181.0,19.0,1.0,4.75,4.77,4.64,4.93,4.95,4.21,4.77,1.0,1.0,0.0,1.12,152.0,10944.0,2.0,1.0,0.0,4.0,1125.0,Entire rental unit,"Washington, DC",within an hour,f,f,"Capitol View, Marshall Heights, Benning Heights",Entire rental unit,Entire home/apt,07/03/2012,27/05/2025,t,t
355527,1096793.0,38.88408,-77.0035,100%,80%,4.0,3.0,1.0,1.0,$205.00,2.0,25.0,4.0,28.0,56.0,223.0,156.0,5.0,0.0,4.8,4.82,4.86,4.89,4.82,4.91,4.71,1.0,1.0,0.0,0.96,30.0,6150.0,1.0,1.0,0.0,2.0,25.0,Entire rental unit,"Washington, DC",within an hour,f,t,"Capitol Hill, Lincoln Park",Entire rental unit,Entire home/apt,01/03/2012,24/03/2025,f,t
